1765614447065242_1795685597391460,photo,Trả lời thật lòng đi. ;),,https://www.facebook.com/Baophunuviet/photos/a.1795685580724795.1073741828.1765614447065242/1795685540724799/?type=3,2017-12-30 23:20:30,4,1,1
1765614447065242_1778705755756111,video,"Giáo dục kỹ năng sống cho học sinh
Hãy nghe và cảm nhận <3 <3",Giáo dục kỹ năng sống cho học sinh,https://www.facebook.com/Baophunuviet/videos/1778705679089452/,2017-11-24 15:35:57,8,0,2
1765614447065242_1778296849130335,link,"Mùa hội cỏ hồng Đà Lạt 2017
http://baophunuviet.com/vi/news/Du-lich-34/BAOPHUNUVIET-Le-hoi-Mua-hoi-co-hong-Da-Lat-2017-lan-dau-tien-duoc-to-chuc-174/","BAOPHUNUVIET- Lễ hội “Mùa hội cỏ hồng Đà Lạt 2017” lần đầu tiên được tổ chức. - Báo Phụ Nữ Việt: Tin Tức, Tình Yêu, Gia Đình, Thời Trang, Làm Đẹp.",http://baophunuviet.com/vi/news/Du-lich-34/BAOPHUNUVIET-Le-hoi-Mua-hoi-co-hong-Da-Lat-2017-lan-dau-tien-duoc-to-chuc-174/,2017-11-23 13:56:38,2,0,0
1765614447065242_1776899469270073,link,"(BAOPHUNUVIET) Sử dụng mỹ phẩm hằng ngày khiến cho da bạn nhanh chóng bị lão hóa, với loại mặt nạ tự nhiên này, cả đời da đẹp rạng ngời mà lại đạt hiệu quả nhanh sau vài lần sử dụng
http://baophunuviet.com/vi/news/green-cate/Nhung-loai-mat-na-duong-da-tu-nhien-tai-nha-172/","Những loại mặt nạ dưỡng da tự nhiên tại nhà. - Báo Phụ Nữ Việt: Tin Tức, Tình Yêu, Gia Đình, Thời Trang, Làm Đẹp.",http://baophunuviet.com/vi/news/green-cate/Nhung-loai-mat-na-duong-da-tu-nhien-tai-nha-172/,2017-11-19 14:44:00,106,2,0
1765614447065242_1776894629270557,link,"Đi du lịch xa cùng bạn trai, đến nơi anh nói hết tiền chỉ đặt có 1 phòng và đêm “nghỉ ngơi” kinh hoàng của cô gái 18 tuổi
http://baophunuviet.com/vi/news/orange-cate1/Di-du-lich-xa-cung-ban-trai-den-noi-anh-noi-het-tien-chi-dat-co-1-phong-va-dem-nghi-ngoi-kinh-hoang-cua-co-gai-18-tuoi-171/","Đi du lịch xa cùng bạn trai, đến nơi anh nói hết tiền chỉ đặt có 1 phòng và đêm “nghỉ ngơi” kinh hoàng của cô gái 18 tuổi - Báo Phụ Nữ Việt: Tin Tức, Tình Yêu, Gia Đình, Thời Trang, Làm",http://baophunuviet.com/vi/news/orange-cate1/Di-du-lich-xa-cung-ban-trai-den-noi-anh-noi-het-tien-chi-dat-co-1-phong-va-dem-nghi-ngoi-kinh-hoang-cua-co-gai-18-tuoi-171/,2017-11-19 13:11:41,142,0,0
1765614447065242_1776090729350947,link,"Những mẫu áo sơ mi 'ai mặc cũng đẹp' cuốn hút mọi ánh nhìn mà bạn gái nào cũng cần sở hữu!

http://baophunuviet.com/vi/news/light-green1-cate/Nhung-mau-ao-so-mi-ai-mac-cung-dep-cuon-hut-moi-anh-nhin-ma-ban-gai-nao-cung-can-so-huu-170/","Những mẫu áo sơ mi 'ai mặc cũng đẹp' cuốn hút mọi ánh nhìn mà bạn gái nào cũng cần sở hữu! - Báo Phụ Nữ Việt: Tin Tức, Tình Yêu, Gia Đình, Thời Trang, Làm Đẹp.",http://baophunuviet.com/vi/news/light-green1-cate/Nhung-mau-ao-so-mi-ai-mac-cung-dep-cuon-hut-moi-anh-nhin-ma-ban-gai-nao-cung-can-so-huu-170/,2017-11-17 09:09:53,103,1,0
1765614447065242_1776090489350971,link,"1 tháng dùng nguyên liệu tự chế này, vòng 1 chảy xệ như mướp cũng căng tròn như ý...
http://baophunuviet.com/vi/news/green-cate/1-thang-dung-nguyen-lieu-tu-che-nay-vong-1-chay-xe-nhu-muop-cung-cang-tron-nhu-y-169/","Báo Phụ Nữ Việt: Tin Tức, Tình Yêu, Gia Đình, Thời Trang, Làm Đẹp. - 1 tháng dùng nguyên liệu tự chế này, vòng 1 chảy xệ như mướp cũng căng tròn như ý",http://baophunuviet.com/vi/news/green-cate/1-thang-dung-nguyen-lieu-tu-che-nay-vong-1-chay-xe-nhu-muop-cung-cang-tron-nhu-y-169/,2017-11-17 09:08:40,105,0,0
1765614447065242_1775751159384904,link,"Sức dẻo dai đáng kinh ngạc của ông Trump trong 13 ngày ở châu Á
Tổng thống Mỹ Donald Trump thể hiện sự dẻo dai và hoạt động không ngừng nghỉ trong chuyến công du châu Á 13 ngày qua 5 quốc gia.
http://baophunuviet.com/vi/news/light-blue-cate/Suc-deo-dai-dang-kinh-ngac-cua-ong-Trump-trong-13-ngay-o-chau-A-168/","Sức dẻo dai đáng kinh ngạc của ông Trump trong 13 ngày ở châu Á - Báo Phụ Nữ Việt: Tin Tức, Tình Yêu, Gia Đình, Thời Trang, Làm Đẹp.",http://baophunuviet.com/vi/news/light-blue-cate/Suc-deo-dai-dang-kinh-ngac-cua-ong-Trump-trong-13-ngay-o-chau-A-168/,2017-11-16 08:21:36,107,0,0
1765614447065242_1775523809407639,link,"3 con giáp đi đứng thật cần thận vì dễ gặp tai nạn bất ngờ, ốm đau liên miên trong năm 2018
( BAOPHUNUVIET ) - Sức khỏe là vốn quý nhất của con người nên bất cứ lúc nào mọi người cũng cần phải giữ gìn sức khỏe. Trong năm 2018, những con giáp này cần đề phòng tai nạn bất ngờ, ốm đau bệnh tật nhé.

http://baophunuviet.com/vi/news/orange-cate/3-con-giap-di-dung-that-can-than-vi-de-gap-tai-nan-bat-ngo-om-dau-lien-mien-trong-nam-2018-167/","Báo Phụ Nữ Việt: Tin Tức, Tình Yêu, Gia Đình, Thời Trang, Làm Đẹp. - 3 con giáp đi đứng thật cần thận vì dễ gặp tai nạn bất ngờ, ốm đau liên miên trong năm 2018",http://baophunuviet.com/vi/news/orange-cate/3-con-giap-di-dung-that-can-than-vi-de-gap-tai-nan-bat-ngo-om-dau-lien-mien-trong-nam-2018-167/,2017-11-15 20:30:00,104,0,0
1765614447065242_1775522869407733,link,"Từ vụ ""Cô ba Sài Gòn bị quay lén"", những chiếc điện thoại đang “giết” chết cảm xúc
Ngô Thanh Vân thốt lên đau đớn: “Em làm vậy thì em đang giết phim Việt đó” khi “Cô ba Sài Gòn” bị quay lén. Nhưng với tôi, bạn trẻ vô ý thức ấy còn bồi thêm “nhát dao” kết liễu dần những cảm xúc còn sót lại của một “thế hệ cúi đầu” vào smartphone.

http://baophunuviet.com/vi/news/light-blue-cate/Tu-vu-Co-ba-Sai-Gon-bi-quay-len-nhung-chiec-dien-thoai-dang-giet-chet-cam-xuc-166/","Từ vụ ""Cô ba Sài Gòn bị quay lén"", những chiếc điện thoại đang “giết” chết cảm xúc - Báo Phụ Nữ Việt: Tin Tức, Tình Yêu, Gia Đình, Thời Trang, Làm Đẹp.",http://baophunuviet.com/vi/news/light-blue-cate/Tu-vu-Co-ba-Sai-Gon-bi-quay-len-nhung-chiec-dien-thoai-dang-giet-chet-cam-xuc-166/,2017-11-15 19:30:01,103,0,0
1765614447065242_1775522629407757,link,"Cô nàng 23 tuổi, đánh bay 4kg với chanh – mật ong để xinh đẹp, lộng lẫy trong ngày cưới
""Sau 2 tháng áp dụng cách này mình cũng giảm được 4kg, đặc biệt vòng bụng thì nhỏ đi trông thấy"".
Có vô số lý do khiến cho chị em phụ nữ mập lên như ăn nhiều, hay ăn đêm, qua sinh nở, còn với cô nàng Đoàn Kim Hằng (23 tuổi) của chúng ta, không cân lý do nào cả, chỉ đơn giản là tạng người cô nàng “hít không khí cũng mập”.

http://baophunuviet.com/vi/news/green-cate/Co-nang-23-tuoi-danh-bay-4kg-voi-chanh-mat-ong-de-xinh-dep-long-lay-trong-ngay-cuoi-165/","Cô nàng 23 tuổi, đánh bay 4kg với chanh – mật ong để xinh đẹp, lộng lẫy trong ngày cưới - Báo Phụ Nữ Việt: Tin Tức, Tình Yêu, Gia Đình, Thời Trang, Làm Đẹp.",http://baophunuviet.com/vi/news/green-cate/Co-nang-23-tuoi-danh-bay-4kg-voi-chanh-mat-ong-de-xinh-dep-long-lay-trong-ngay-cuoi-165/,2017-11-15 18:19:00,111,1,1
